x,y,xnorm
2160,22.37360261,0.73344652
2190,37.51071805,0.743633277
2171,40.14355712,0.737181664
2180,27.63025352,0.740237691
2211,50.14979611,0.750764007
2384,9.12761932,0.80950764
2282,34.8564226,0.774872666
2053,4.106938065,0.697113752
2047,4.835391767,0.695076401
2084,46.68416222,0.707640068
2047,18.91963253,0.695076401
2059,18.63460715,0.699151104
1932,20.01782929,0.656027165
1945,19.46800145,0.660441426
1936,42.28583438,0.657385399
1954,14.83170361,0.663497453
1810,18.06271781,0.614601019
1791,23.87602836,0.608149406
1752,21.95536586,0.594906621
1811,44.48204126,0.614940577
1732,12.72968911,0.58811545
1735,33.4087701,0.589134126
1797,33.79439536,0.610186757
1982,11.28161656,0.673005093
2282,20.39460165,0.774872666
2297,27.42132557,0.779966044
2835,39.21749232,0.962648557
2843,13.49026103,0.965365025
2743,1.131799902,0.931409168
2445,23.08290306,0.830220713
2359,44.13424999,0.801018676
2281,9.126912268,0.774533107
2901,9.34938836,0.985059423
2899,11.39782623,0.984380306
2884,45.17549369,0.979286927
2905,18.56027268,0.986417657
2850,48.85255821,0.967741935
2736,11.96337306,0.929032258
2778,47.41599518,0.943293718
1259,8.980912839,0.427504244
72,39.07792481,0.024448217
86,49.5538861,0.029202037
70,2.416333321,0.0237691
98,40.26708721,0.03327674
58,44.35628589,0.019694397
140,33.86421504,0.0475382
152,44.97037486,0.051612903
199,21.99437204,0.067572156
216,4.091847067,0.073344652
281,12.54443564,0.095415959
270,14.97199124,0.091680815
2256,42.42975643,0.766044143
2824,48.27663022,0.958913413
2773,33.10761554,0.941595925
2764,32.14329566,0.938539898
2836,49.55452029,0.962988115
2868,20.52844654,0.97385399
2867,18.12712219,0.973514431
2865,20.002144,0.972835314
2864,17.83485259,0.972495756
2833,1.557021176,0.96196944
2830,4.417972651,0.960950764
2831,14.66753648,0.961290323
2846,16.86771573,0.966383701
2879,35.11106375,0.977589134
2922,14.58091674,0.992190153
2854,31.19564133,0.96910017
2862,39.29507079,0.971816638
2803,42.5799968,0.951782683
2801,44.65839643,0.951103565
2830,32.87182115,0.960950764
2891,31.86651754,0.981663837
2889,30.71589789,0.98098472
2922,21.6155607,0.992190153
2796,26.66370791,0.949405772
2799,30.72542888,0.950424448
2798,22.40245492,0.95008489
2754,28.57833001,0.935144312
2828,28.02593289,0.960271647
2810,27.86308878,0.954159593
2797,4.047830691,0.949745331
2766,28.71204398,0.939219015
2803,46.31715815,0.951782683
2812,8.492305102,0.95483871
2845,31.92310589,0.966044143
2825,27.59321564,0.959252971
2820,40.43590963,0.957555178
2786,23.94429759,0.946010187
2750,27.51968988,0.933786078
2766,11.83106646,0.939219015
2746,5.677206516,0.932427844
2731,1.951566457,0.927334465
2852,40.80174686,0.968421053
2726,11.05103965,0.925636672
2785,40.3927209,0.945670628
2791,12.59102767,0.94770798
2759,29.82341867,0.936842105
2680,11.38579633,0.910016978
